,product_name,energy_100g,sugars_100g,fiber_100g,proteins_100g,sodium_100g,saturated-fat_100g,nutrition-score-fr_100g,nutrition_grade_fr
180904,Crème légère liquide UHT (15% MG),682.0,4.2,,3.0,0.0590551181102362,10.5,12.0,d
268652,"Sardines à l'Ancienne, à l'Huile d'Olive, au Piment et Aromates",,,,,,,,
242765,Eau gazeuse forte Celtic,4.0,1.0,,0.1,0.0393700787401575,1.0,2.0,c
249454,Filet de Poulet petites tranches pratiques,442.0,0.8,,19.0,1.10236220472441,0.9,11.0,d
235782,Compotes pomme,276.0,14.6,0.0,0.3,0.0015748031496063,0.0,-2.0,a
209198,Mini Crackers Emmental Et Graines De Courge,1900.0,2.3,9.2,18.0,0.748031496062992,5.7,13.0,d
212653,Coquillettes (Al dente 9 min.) ,1531.0,3.7,3.6,12.0,0.01,0.35,-6.0,a
220848,Crevette,374.0,0.0,0.0,21.7,0.700787401574803,0.0,3.0,c
316355,Bonbon Halter Sans Sucre Eucalyptus,992.0,98.0,0.0,0.0,0.0,0.0,12.0,d
207577,Beurre Tendre Demi-Sel,3033.0,0.5,,0.7,0.78740157480315,55.0,27.0,e
195348,Pipe Rigate Zero Pesticide,1456.0,3.0,3.0,11.0,0.00393700787401575,0.3,-5.0,a
301793,Reduced Fat Houmous,1054.0,1.0,6.0,9.0,0.433070866141732,19.0,12.0,d
343431,Fuet Espetec,1992.0,3.1,0.0,27.6,1.8503937007874,14.2,25.0,e
218638,Mini-Choux Saveur Chèvre et Poivre,2694.0,5.7,1.7,8.4,0.47244094488189003,30.4,22.0,e
233739,Pickled - Ducros Cornichons 330 G,67.0,0.7,,1.1,0.62992125984252,0.0,6.0,c
304201,Petit Pois Carotte,259.0,3.4,0.0,3.4,0.24015748031496104,0.1,-5.0,a
187684,Comté (32% MG),,,,,,,,
179323,Saucisse de Lyon en tranches,1092.0,0.9,,13.0,0.78740157480315,8.0,18.0,d
346207,Pavés de Saumon,821.0,0.0,,20.0,0.0354330708661417,2.2,-1.0,a
268900,Carpaccio de Bœuf au Basilic & Huile d'Olive,791.0,0.1,,20.0,0.15748031496063,1.7,-1.0,a
189436,2 Cordons Bleus de Dinde,979.0,1.5,,13.0,0.551181102362205,3.1,11.0,d
253373,Fines tranches de chorizo,1720.0,2.9,0.0,20.0,0.9448818897637801,13.0,25.0,e
194776,Pur Soup' Épinards Artichauts,190.0,0.5,1.0,1.0,0.28740157480315004,1.2,3.0,c
259884,Haricots,,,,,,,,
213108,Muscade moulue,,,,,,,,
216606,Pâturages Paturette Crème dessert saveur palet breton les 4 pots de 115 g,414.0,15.5,0.0,2.7,0.0984251968503937,2.9,6.0,c
239006,Perle de lait - coco en fins éclats ,580.0,9.1,0.1,2.9,0.047244094488189003,6.3,8.0,c
315833,Chocolat aux Larmes de Whisky ,,,,,,,,
220177,Pommes de terre rôties U,1113.0,2.2,4.0,4.4,0.62992125984252,1.6,3.0,c
260871,Nouilles Instantanées saveur Bœuf,1938.0,1.8,4.4,9.7,2.15748031496063,10.3,20.0,e
227860,"Sandwich Bacon Crudités, Pain de Mie au Son",1044.0,2.7,,11.3,0.551181102362205,2.7,11.0,d
177106,Barre repas,1678.0,20.0,9.9,25.0,0.295275590551181,6.0,12.0,d
236570,Crêpes paysannes,653.0,2.7,1.2,8.3,0.374015748031496,1.5,0.0,b
281819,Orange,184.0,9.2,0.3,0.7,0.0011811023622047198,0.05,2.0,b
278135,Rillettes de crabe,594.0,0.8,,14.0,0.62992125984252,5.7,12.0,d
221206,Encas+ sur lit de Fraise,318.0,10.6,0.0,8.0,0.0393700787401575,0.1,-2.0,a
312412,Boisson Au Lait Et Jus De Fruits Danao Délice Danone,364.0,20.0,,1.0,0.0,1.0,20.0,e
258278,Crevettes sauvages décortiquées,167.0,0.0,,8.1,0.433070866141732,0.2,-1.0,a
278634,Pomme Fraise,1284.0,58.8,13.0,3.92,0.00748031496062992,0.65,1.0,b
295345,Mini cubes,1887.0,61.7,,4.1,0.173228346456693,8.3,24.0,e
350494,Poule Vermicelles,110.0,0.5,0.5,1.4,0.32283464566929104,0.3,3.0,c
248900,Jus de pomme,418.0,9.7,0.0,0.5,0.0118110236220472,0.0,7.0,d
279031,Spiruline en comprimes,1414.0,,9.94,63.8,,,,
242351,Yaourt aux fruits mixés,414.0,14.0,0.0,3.7,0.047244094488189003,2.1,4.0,c
201886,Levure De Biere Juvaflorine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
272011,Pate piquant a l'ancienne LES CHOUANS,1448.0,2.0,,10.6,0.590551181102362,1.0,5.0,c
259395,Biscottes 6 Céréales (x 36),1705.0,5.4,5.4,12.1,0.5590551181102359,0.9,7.0,c
263055,Boisson Raisin Grenade Framboise Cassis,220.0,11.5,,0.2,0.0118110236220472,0.0,6.0,d
288189,Curry madras bio ,,,,,,,,
208501,Jus d'orange,192.0,10.0,,0.6,0.0,0.0,14.0,e
253705,Patate douce,,,,,,,,
212601,Jus d'orange,176.0,10.0,,0.5,0.0078740157480315,0.0,13.0,e
203218,Pâtes de fruits aromatisées,,,,,,,,
270334,Terrinne aux 3 poissons,682.0,1.8,,9.0,0.44488188976377896,2.2,3.0,c
193255,Le petit pot de crème saveur vanille,806.0,16.3,0.0,4.6,0.0551181102362205,6.5,11.0,d
195282,Sauce bolognese,247.0,5.6,2.1,1.6,0.496062992125984,0.2,4.0,c
235439,Caraibos cocktail Caipirinha,197.0,11.0,,0.0,0.0,0.0,15.0,e
205005,Filet mignon fumé nature,491.0,0.5,,24.0,1.1811023622047199,0.8,11.0,d
262651,Sojabio tartine et moi noix,745.0,2.6,,9.2,0.5944881889763779,1.85,4.0,c
309665,Agros aroma banana,351.0,12.0,,3.8,0.0511811023622047,1.0,1.0,b
271906,Crevettes Sauvages de Patagonie Décortiquées,285.0,0.0,,16.0,0.153543307086614,0.2,-4.0,a
217026,Jambon  sec,1042.0,0.4,0.0,26.4,1.9881889763779501,5.8,18.0,d
214900,Jambon cuit supérieur dégraissé,454.0,0.5,,21.0,0.7755905511811021,0.9,4.0,c
199821,Haribo Tagada purple intense,1506.0,74.0,,3.0,0.0,0.0,14.0,d
323011,Glaces Sundae caramel fondant Extrême,1218.0,26.6,1.0,3.1,0.062992125984252,8.1,15.0,d
195554,Merguez fortes à la marocaine,1192.0,2.0,0.0,12.0,0.748031496062992,10.0,20.0,e
231561,2 Mini Calzones Jambon Mozzarella,795.0,1.53,2.13,10.67,0.590551181102362,2.6,2.0,b
196722,Préparation pour pâte à Crêpes Caramel,1733.0,9.1,0.0,12.0,0.0,0.5,2.0,b
355641,Cœurs de palmier,89.0,0.2,2.5,2.3,0.299212598425197,0.0,-1.0,a
243267,Escales Gourmandes Coppa Emmental,946.0,2.2,,12.8,0.669,2.2,11.0,d
187975,"Vanilla, chocolate & cranberry biscuits",2059.0,41.0,1.9,5.6,0.23622047244094502,13.0,25.0,e
176821,Chips de tradition,2368.0,0.7,,6.1,0.5118110236220471,3.4,15.0,d
259946,Raisins secs,1347.0,68.8,4.7,3.0,0.0374015748031496,0.5,3.0,c
279033,Fruigolo fruits rouges,172.0,8.9,0.0,0.0,0.0,0.0,12.0,e
273459,Pains Burger Classique Bio,1167.0,8.36,3.36,8.82,0.456692913385827,0.55,0.0,b
190537,Pain Multigrain Aldi,920.0,0.6,0.0,6.5,0.36220472440944895,0.2,2.0,b
203932,Palets de céréales à l'épeautre,1941.0,17.0,6.8,8.8,0.255905511811024,1.9,6.0,c
246329,Protifast Veloutée Tomates,473.0,4.3,2.0,18.0,0.492125984251969,0.08,-1.0,a
275879,Les Séchés Cèpes,,,,,,,,
332280,285G Sauce Tomate Rotie Olive Sacla,573.0,7.6,,1.7,0.905511811023622,1.1,13.0,d
211073,le Campagne Jambon Emmental Salade,973.0,2.6,,11.0,0.606,4.9,12.0,d
274250,Vivat bio,,,,,,,,
245569,Chocolat De Couverture Noir 66% En Fève Caraibe,2393.0,35.0,0.0,8.2,0.015748031496063,24.0,24.0,e
202285,Sucre enveloppés,,,,,,,,
268295,Rillettes de Thon à la Parmesane,1147.0,1.4,,16.5,0.3543307086614171,9.59,15.0,d
187630,Filets de poulet rôti chaud ou froid,632.0,0.1,0.1,24.0,0.551181102362205,1.4,3.0,c
253132,Emincés de Poulet aux Champignons riz basmati,172.0,1.4,,6.5,0.28346456692913397,4.12,3.0,c
207871,100 % Pur Jus Pamplemousse Blanc avec pulpe,172.0,9.4,0.0,0.5,0.01,0.0,3.0,c
181948,Noix de coco cuit au chaudron,,,,,,,,
188356,6 filets Poulet,1941.0,0.5,,24.0,0.0393700787401575,0.5,0.0,b
243753,Cancoillotte nature,565.0,0.5,,15.0,0.318897637795276,5.3,4.0,c
236546,"4 paniers Noix de Saint-Jacques* à la Bretonne, Surgelé",1137.0,2.2,0.0,7.0,0.374015748031496,10.1,17.0,d
276245,Mézerac Yaourts à la vanille les 4 pots de 125 g,448.0,11.45,0.0,3.55,0.047244094488189003,0.6,1.0,b
228845,Lait fermenté,,,,,,,,
248912,Eau minérale naturelle gazéifiée source Alizée,,,,,,,,
224333,Crousti Fruits Rouges Sans Gluten - 5 125 GR - Valpiform,1368.0,32.0,1.5,2.7,0.110236220472441,0.0,10.0,c
267295,2 Pavés Saumon,1013.0,0.5,0.5,20.0,0.031496062992126,2.5,0.0,b
187970,Filets de Poulet,694.0,,,19.3,,,,
265979,Pain d'épices fondant au miel,1315.0,42.0,,3.2,0.275590551181102,0.1,15.0,d
229954,Petit camembert bio au lait cru,1169.0,0.5,,20.4,0.708661417322835,13.7,15.0,d
241653,Lait Demi-Écrémé,195.0,4.7,,3.3,0.047244094488189003,1.1,0.0,b
200984,Emmental râpé (28 % MG),1544.0,0.5,,27.0,0.275590551181102,19.0,12.0,d
177288,Meursault-Charmes 1er Cru 2000,,,,,,,,
199626,Graine de lin,2247.0,0.6,,28.0,0.047244094488189003,2.7,3.0,c
188419,Huile de tournesol,3700.0,0.0,,0.0,0.0,11.0,11.0,d
184048,Family Box Tokyo Sushi,653.0,8.3,,4.8,0.84251968503937,1.1,12.0,d
247688,Purée de Pois Cassés,417.0,0.5,6.1,6.2,0.36220472440944895,1.1,-2.0,a
251949,La Panna Cotta,753.0,5.9,,2.3,,9.0,,
215438,Sirop Fraise,1343.0,80.0,0.0,0.5,0.00393700787401575,0.1,20.0,e
113999,Morue à la sauce poveira,770.0,0.5,0.0,28.0,0.905511811023622,1.3,13.0,d
192780,Cannelloni à Cuisiner,543.0,0.6,1.0,5.5,0.358267716535433,0.1,0.0,b
272910,Le moelleux à la Châtaigne ,1628.0,35.2,2.3,5.1,0.153543307086614,12.5,19.0,e
236062,Glace à l'Eau Cocktail Exotique,342.0,18.0,,0.0,0.0,0.0,4.0,c
293523,Thé Vert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
310154,Rooibos Tea Elderberry Ginger Ginseng Agave,84.0,4.7,0.0,0.0,0.0,0.0,7.0,d
270446,Spiruline ,,,,,,,,
218516,"Bx45.Fagot H.ver.rochefon,",285.0,0.8,2.0,1.1,0.31496062992126,0.0,1.0,b
261268,Cacahuètes grillées et salées,2564.0,5.1,7.9,26.8,0.31496062992126,7.1,13.0,d
249074,Confiture de cerise noire,950.0,55.0,,0.8,0.0118110236220472,0.1,11.0,d
264792,Coleslaw,444.0,5.5,,1.0,0.31496062992126,0.6,5.0,c
343996,Sérovance Barre Orange Chocolat Au Lait 7unités,1498.0,13.5,17.1,33.1,0.125984251968504,6.05,8.0,c
254520,Delical,1674.0,5.5,6.0,20.0,0.062992125984252,0.6,9.0,d
197515,Evian fruits & plantes eau des alpes + citron + fleur de sureau,92.0,4.9,0.0,0.5,0.0,0.0,8.0,d
288524,Nougat,,,,,,,,
222289,Fromage frais nature,356.0,3.5,0.0,9.58,0.0417,2.33,-2.0,a
344589,Pate de atun,669.0,1.0,,14.0,0.551181102362205,1.4,3.0,c
275396,Yaourt Abricot De La Ferme Du Marais,397.0,11.2,0.0,2.8,0.0354330708661417,1.7,3.0,c
215026,Mon Gourmand Tradition,457.0,0.8,,21.0,0.8267716535433071,0.9,5.0,c
242531,Gosset brut excellence,,,,,,,,
303901,Pains au Lait,1502.0,12.0,1.5,8.0,0.5118110236220471,7.8,16.0,d
265028,Les Dés mimolette & edam (24 % M.G.),1303.0,1.0,,23.4,0.78740157480315,17.0,16.0,d
216261,Adelie COL Double Cara,1406.0,31.9,0.0,3.3,0.047244094488189003,15.0,21.0,e
228002,Crevettes nature,368.0,1.8,,17.6,0.787,0.4,4.0,c
180106,Craquante saveur sour cream & cheese,2251.0,3.3,,6.0,0.700787401574803,2.7,15.0,d
215782,Odyssee 10 Bat Sav Crabe,527.0,2.8,,8.1,0.62992125984252,0.6,2.0,b
332348,Carbonara italiana,,,,,,,,
295131,Balisto Muesli-mix 6x20gr,2125.0,42.6,0.0,6.7,0.244094488188976,11.3,27.0,e
224692,Le ravioli pur boeuf,368.0,1.4,,3.8,0.3543307086614171,0.8,2.0,b
203748,Sablés bio chocolat noir intense,2039.0,29.0,5.9,7.1,0.220472440944882,6.0,14.0,d
267948,Délice en Morceaux Cerise,391.0,21.0,1.6,0.8,0.0,0.0,3.0,c
297426,Sauce Butter Chicken,,,,,,,,
199063,Filet de Poulet Rôti,516.0,1.1,,24.0,0.669291338582677,0.7,3.0,c
266005,Sirop pour cocktail mojito,1197.0,71.0,,0.1,0.0984251968503937,0.1,21.0,e
246411,Sirop Grenadine,1213.0,72.0,,0.5,0.00393700787401575,0.1,20.0,e
267748,délice à la framboise,394.0,20.0,4.1,0.8,0.0,0.0,-5.0,a
264488,Auchan Cake Aux Fruits Bio,1787.0,38.0,2.0,7.0,0.23228346456692897,1.8,14.0,d
255237,Tartelettes abricot,1861.0,33.0,1.8,5.0,0.19685039370078697,7.2,19.0,e
194214,Dany Chocolat,489.0,17.3,,3.7,0.0590551181102362,1.9,3.0,c
253885,Saucisse Citronnelle - Lapxuong,1351.0,4.7,,17.4,0.393700787401575,14.1,19.0,e
227031,Citronnade à l'eau de source,117.0,6.2,,0.0,0.0,0.0,9.0,d
271592,Pain au lait avec pépites de chocolat x8,1506.0,17.4,,8.4,0.393700787401575,3.1,14.0,d
328905,Mini Prince sablés goût chocolat,2140.0,29.0,3.4,6.1,0.23622047244094502,12.0,20.0,e
261844,Chocolat au lait Bio,2270.0,56.0,1.5,7.0,0.08900000000000001,19.0,24.0,e
337888,Chewing gum Mentos Squeez,813.0,12.0,,0.8,,0.0,,
210209,Kit brochettes Yakitori,,,,,,,,
207141,Blanc de Poulet (4 Tranches),356.0,1.0,,18.0,0.551181102362205,0.2,2.0,b
203592,"Riz au lait, nappé de caramel",,,,,,,,
262578,Quiche au Maroilles,1008.0,2.7,,12.0,0.393700787401575,8.9,15.0,d
224656,Caramel au Beurre Salé,,,,,,,,
213545,L'Emmental français râpé,1527.0,2.0,,27.0,0.326771653543307,19.9,12.0,d
248990,Fraises,1059.0,55.8,1.1,0.5,0.003,0.2,7.0,c
240383,Rosé Moelleux IGP Comtés Rhodaniens,,,,,,,,
190289,Bâtonnets de Mozzarella avec Sauce au Piment Rouge,1280.0,13.9,1.8,12.9,0.220472440944882,6.2,12.0,d
218691,"Spécialité Au Soja Fruits Des Bois Et Fruits Rouges U,",318.0,11.0,1.4,3.1,0.031496062992126,0.3,0.0,b
213979,Haricots rouges,433.0,0.6,,7.5,0.16929133858267698,0.2,-2.0,a
217257,Lait fermenté Laban,,,,,,,,
200708,Bubblizz original lutti,1377.0,62.6,0.0,4.8,0.15748031496063,0.0,15.0,d
195279,Sauce Bolognaise Bourguignonne Viande Extra,410.0,5.6,,5.7,0.748031496062992,1.2,11.0,d
177399,Reblochon de Savoie Fermier AOP (22 % MG) au lait cru,,,,,,,,
219004,Fromage Père François U,1213.0,0.27,,22.0,0.62992125984252,15.0,19.0,e
226851,Crackers goût tomate épicée ,1645.0,13.5,,6.5,1.1811023622047199,1.0,16.0,d
280773,Desiree FEINE WAFFELMISHUNG,2312.0,38.0,,3.4,0.0787,24.0,24.0,e
275767,Sauce Burger,1461.0,4.9,,0.6,0.590551181102362,4.8,15.0,d
227120,Yaourt Au Lait Entier,289.0,4.5,0.0,4.1,0.0551181102362205,2.3,0.0,b
227338,Salade De Lentille Vert Au Legume Et Au Lardon Cuit Fumes,770.0,0.8,0.0,5.5,0.590551181102362,1.1,6.0,c
254257,Miel d'Oranger,,,,,,,,
226297,Chapelure,1632.0,8.0,,12.0,,2.0,,
246634,Corn Flakes,1639.0,6.6,2.5,8.5,0.413385826771654,0.2,1.0,b
330618,Sweet Quinoa Mangue et Noix de Coco,302.0,7.4,2.6,1.2,0.047244094488189003,1.4,-1.0,a
350888,Lotte Biscuit Sticks White Chocolate & Cookie Flavor 32 G.,690.0,10.0,0.0,2.0,0.173228346456693,5.0,8.0,c
191925,Câpres au vinaigre,,,,,,,,
265320,Bouillon aux légumes et aromates ,928.0,8.4,0.5,7.7,19.251968503937,4.4,,
321588,Sauce Chasseur,212.0,0.6,0.6,1.2,0.47200000000000003,1.4,6.0,c
345409,Nectar 13 fruits Dia,205.0,11.6,0.2,0.2,0.03,0.0,13.0,e
215897,"Itineraire des Saveurs, Crepes dentelle nature, le paquet de 85 gr",1971.0,34.4,,5.8,0.23228346456692897,11.7,24.0,e
207343,Mousse De Foie Casino Recette Traditionnelle 1 x,1046.0,1.4,,11.0,0.669291338582677,8.6,18.0,d
189589,Tétines Citriques,1540.0,57.3,0.0,0.5,0.078740157480315,0.5,14.0,d
328554,Fin noir pistache,2280.0,44.5,8.5,6.5,0.138,19.5,21.0,e
269916,Folar de Pâques,1374.0,12.4,2.8,10.5,0.393700787401575,2.5,9.0,c
192820,Saucisses de Toulouse - Lentilles cuisisnées,544.0,1.5,3.1,7.62,0.318897637795276,3.0,-2.0,a
180011,Lait Raisins secs & Noisettes,2209.0,47.6,3.3,6.5,0.07,16.1,22.0,e
297730,"Müsli, Simply Fruity Breakfast Cereal (dunkelgrün)",1410.0,26.0,6.8,7.3,0.0393700787401575,0.4,0.0,b
289624,filet truite,,,,,,,,
